id;provincia;ingreso;zona;obra_social;edad;jubilado;bancarizado;negativo;casado;hijos;sexo;auto
396;BUENOS_AIRES;20M-30M;ZONA_NORTE;400909;55;NO;SI;NO;SI;SI;M;SI
397;BUENOS_AIRES;20M-30M;ZONA_NORTE;otros;36;NO;SI;SI;NO;SI;M;NO
398;BUENOS_AIRES;10M-20M;INTERIOR;400800;27;NO;NO;NO;NO;NO;M;SI
399;LA_PAMPA;10M-20M;INTERIOR;otros;47;NO;NO;NO;NO;NO;M;SI
400;BUENOS_AIRES;30M-50M;ZONA_OESTE;406;44;NO;SI;SI;NO;NO;M;SI
401;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;39;NO;SI;NO;NO;SI;M;NO
402;MENDOZA;20M-30M;INTERIOR;otros;41;NO;SI;NO;NO;NO;M;SI
403;SANTA_FE;20M-30M;INTERIOR;otros;35;NO;SI;NO;NO;NO;M;NO
404;BUENOS_AIRES;0M-10M;INTERIOR;otros;39;NO;NO;SI;NO;NO;M;SI
405;BUENOS_AIRES;50M+;ZONA_SUR;400909;43;NO;SI;NO;NO;NO;M;SI
406;SANTA_FE;50M+;INTERIOR;otros;50;NO;SI;NO;SI;SI;M;SI
407;CORDOBA;20M-30M;INTERIOR;otros;37;NO;NO;NO;NO;NO;F;SI
408;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;45;NO;SI;NO;NO;NO;M;SI
409;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;400800;43;NO;NO;SI;NO;NO;M;SI
410;BUENOS_AIRES;20M-30M;INTERIOR;otros;44;NO;SI;NO;SI;SI;M;SI
411;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;113809;60;NO;SI;NO;NO;NO;M;SI
412;CHUBUT;20M-30M;INTERIOR;otros;28;NO;SI;NO;NO;NO;M;SI
413;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;126205;37;NO;SI;NO;NO;NO;M;NO
414;RIO_NEGRO;50M+;INTERIOR;400909;65;NO;NO;NO;NO;NO;M;SI
415;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;otros;34;NO;NO;NO;NO;NO;M;SI
416;BUENOS_AIRES;10M-20M;INTERIOR;126205;36;NO;SI;NO;SI;NO;M;SI
417;BUENOS_AIRES;30M-50M;INTERIOR;otros;61;NO;SI;NO;SI;NO;M;SI
418;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;46;NO;NO;NO;NO;NO;M;NO
419;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;57;NO;SI;NO;SI;SI;M;SI
420;BUENOS_AIRES;20M-30M;ZONA_NORTE;otros;39;NO;NO;NO;NO;NO;M;SI
421;CORDOBA;20M-30M;INTERIOR;otros;41;NO;NO;NO;NO;NO;M;SI
422;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;otros;37;NO;NO;SI;NO;NO;F;SI
423;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;400800;58;NO;SI;NO;SI;NO;M;SI
424;BUENOS_AIRES;20M-30M;ZONA_SUR;400909;32;NO;SI;NO;NO;NO;M;NO
425;BUENOS_AIRES;30M-50M;ZONA_NORTE;113809;42;NO;SI;NO;NO;NO;F;SI
426;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;40;NO;NO;NO;NO;NO;M;SI
427;SANTA_FE;50M+;INTERIOR;otros;52;NO;SI;NO;NO;NO;F;SI
428;BUENOS_AIRES;10M-20M;INTERIOR;otros;41;NO;NO;NO;NO;NO;F;NO
429;BUENOS_AIRES;20M-30M;ZONA_SUR;400800;33;NO;NO;NO;NO;NO;M;SI
430;BUENOS_AIRES;10M-20M;ZONA_NORTE;126205;57;NO;SI;NO;NO;NO;F;NO
431;SANTA_FE;30M-50M;INTERIOR;400909;37;NO;SI;NO;NO;NO;M;SI
432;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;54;NO;SI;SI;SI;SI;M;SI
433;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;42;NO;SI;NO;NO;NO;M;SI
434;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;otros;49;NO;SI;NO;NO;NO;M;SI
435;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;44;NO;SI;NO;SI;SI;M;NO
436;BUENOS_AIRES;10M-20M;INTERIOR;otros;28;NO;NO;NO;NO;NO;M;NO
437;BUENOS_AIRES;20M-30M;ZONA_SUR;400800;64;NO;SI;NO;SI;NO;M;SI
438;BUENOS_AIRES;10M-20M;ZONA_NORTE;otros;55;NO;SI;NO;NO;NO;M;NO
439;SALTA;10M-20M;INTERIOR;400800;41;NO;NO;NO;NO;NO;M;SI
440;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;60;NO;SI;SI;NO;NO;M;NO
441;BUENOS_AIRES;30M-50M;ZONA_SUR;406;34;NO;SI;NO;NO;NO;M;SI
442;SANTA_CRUZ;50M+;INTERIOR;otros;43;NO;SI;NO;NO;NO;M;SI
443;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;42;NO;SI;NO;NO;NO;M;SI
444;MENDOZA;0M-10M;INTERIOR;otros;48;NO;SI;NO;NO;NO;F;SI
445;BUENOS_AIRES;0M-10M;INTERIOR;otros;25;NO;SI;NO;NO;NO;F;NO
446;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400800;59;NO;SI;NO;NO;NO;F;NO
447;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;otros;60;NO;NO;NO;NO;NO;M;SI
448;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;85;SI;NO;NO;NO;NO;F;SI
449;CORDOBA;30M-50M;INTERIOR;otros;38;NO;SI;NO;NO;NO;M;NO
